ticker,score,grade,hard_failures,human_review_required,run_folder
AAPL,86,GOOD,,false,reports/AAPL/runs/v5_quality_broad_30_batch_AAPL
MSFT,86,GOOD,,false,reports/MSFT/runs/v5_quality_broad_30_batch_MSFT
GOOGL,86,GOOD,,false,reports/GOOGL/runs/v5_quality_broad_30_batch_GOOGL
META,86,GOOD,,false,reports/META/runs/v5_quality_broad_30_batch_META
NVDA,86,GOOD,,false,reports/NVDA/runs/v5_quality_broad_30_batch_NVDA
AMD,86,GOOD,,false,reports/AMD/runs/v5_quality_broad_30_batch_AMD
INTC,86,GOOD,,false,reports/INTC/runs/v5_quality_broad_30_batch_INTC
MU,86,GOOD,,false,reports/MU/runs/v5_quality_broad_30_batch_MU
RKLB,78,ACCEPTABLE,,true,reports/RKLB/runs/v5_quality_broad_30_batch_RKLB
ASTS,86,GOOD,,false,reports/ASTS/runs/v5_quality_broad_30_batch_ASTS
RXRX,78,ACCEPTABLE,,true,reports/RXRX/runs/v5_quality_broad_30_batch_RXRX
LLY,78,ACCEPTABLE,,true,reports/LLY/runs/v5_quality_broad_30_batch_LLY
ISRG,78,ACCEPTABLE,,true,reports/ISRG/runs/v5_quality_broad_30_batch_ISRG
JPM,86,GOOD,,false,reports/JPM/runs/v5_quality_broad_30_batch_JPM
IBKR,86,GOOD,,false,reports/IBKR/runs/v5_quality_broad_30_batch_IBKR
BRK-B,78,ACCEPTABLE,,true,reports/BRK-B/runs/v5_quality_broad_30_batch_BRK-B
O,78,ACCEPTABLE,,true,reports/O/runs/v5_quality_broad_30_batch_O
XOM,86,GOOD,,false,reports/XOM/runs/v5_quality_broad_30_batch_XOM
FCX,86,GOOD,,false,reports/FCX/runs/v5_quality_broad_30_batch_FCX
CAT,86,GOOD,,false,reports/CAT/runs/v5_quality_broad_30_batch_CAT
BA,86,GOOD,,false,reports/BA/runs/v5_quality_broad_30_batch_BA
DAL,86,GOOD,,false,reports/DAL/runs/v5_quality_broad_30_batch_DAL
ZIM,86,GOOD,,false,reports/ZIM/runs/v5_quality_broad_30_batch_ZIM
NKE,86,GOOD,,false,reports/NKE/runs/v5_quality_broad_30_batch_NKE
CMG,86,GOOD,,false,reports/CMG/runs/v5_quality_broad_30_batch_CMG
NEE,86,GOOD,,false,reports/NEE/runs/v5_quality_broad_30_batch_NEE
T,86,GOOD,,false,reports/T/runs/v5_quality_broad_30_batch_T
LVMUY,86,GOOD,,false,reports/LVMUY/runs/v5_quality_broad_30_batch_LVMUY
PYPL,86,GOOD,,false,reports/PYPL/runs/v5_quality_broad_30_batch_PYPL
LUNR,86,GOOD,,false,reports/LUNR/runs/v5_quality_broad_30_batch_LUNR
